objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
fmt000001,Illumination by moonlight,,,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000001_undated_arup_illumination_by_moonlight_research.pdf,objects/small/fmt000001_undated_arup_illumination_by_moonlight_research_sm.jpg,objects/thumbs/fmt000001_undated_arup_illumination_by_moonlight_research_th.jpg,,
fmt000002,Questions that have to be answered,,,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000002_undated_arup_questions_that_have_to_be_answered.pdf,objects/small/fmt000002_undated_arup_questions_that_have_to_be_answered_sm.jpg,objects/thumbs/fmt000002_undated_arup_questions_that_have_to_be_answered_th.jpg,,
fmt000003,Peter Rice Experiments Fax,,1988-03-29,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000003_1988-03-29_arup_peter_rice_experiments.pdf,objects/small/fmt000003_1988-03-29_arup_peter_rice_experiments_sm.jpg,objects/thumbs/fmt000003_1988-03-29_arup_peter_rice_experiments_th.jpg,,
fmt000004,Prototype of moonlight collector,,1989-06-26,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000004_1989-06-26_arup_andy_sedgwick_prototype_collecteur_lunaire.pdf,objects/small/fmt000004_1989-06-26_arup_andy_sedgwick_prototype_collecteur_lunaire_sm.jpg,objects/thumbs/fmt000004_1989-06-26_arup_andy_sedgwick_prototype_collecteur_lunaire_th.jpg,,
fmt000005,Dimensions of moonlight collector,,1989-07-12,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000005_1989-07-12_arup_andy_sedgwick_collecteur_lunaire_dimensions.pdf,objects/small/fmt000005_1989-07-12_arup_andy_sedgwick_collecteur_lunaire_dimensions_sm.jpg,objects/thumbs/fmt000005_1989-07-12_arup_andy_sedgwick_collecteur_lunaire_dimensions_th.jpg,,
fmt000006,Message on the lunar eclipse,,1989-08-15,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000006_1989-08-15_arup_andy_sedgwick_message_lunar_eclipse.pdf,objects/small/fmt000006_1989-08-15_arup_andy_sedgwick_message_lunar_eclipse_sm.jpg,objects/thumbs/fmt000006_1989-08-15_arup_andy_sedgwick_message_lunar_eclipse_th.jpg,,
fmt000007,Light transport and moonlight colour studies,,1990-04-09,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000007_1990-04-09_arup_andy_sedgwick_transportation_colour_moonlight_studies.pdf,objects/small/fmt000007_1990-04-09_arup_andy_sedgwick_transportation_colour_moonlight_studies_sm.jpg,objects/thumbs/fmt000007_1990-04-09_arup_andy_sedgwick_transportation_colour_moonlight_studies_th.jpg,,
fmt000008,Suggetions on investigations and experiments,,1990-10-22,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000008_1990-10-22_arup_andy_sedgwick_suggestions_investigations_experiments.pdf,objects/small/fmt000008_1990-10-22_arup_andy_sedgwick_suggestions_investigations_experiments_sm.jpg,objects/thumbs/fmt000008_1990-10-22_arup_andy_sedgwick_suggestions_investigations_experiments_th.jpg,,
fmt000009,Sketch of preliminary theatre layout,,1991-02-14,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000009_1991-02-14_arup_andy_sedgwick_preliminary_theatre_layout_sketch.pdf,objects/small/fmt000009_1991-02-14_arup_andy_sedgwick_preliminary_theatre_layout_sketch_sm.jpg,objects/thumbs/fmt000009_1991-02-14_arup_andy_sedgwick_preliminary_theatre_layout_sketch_th.jpg,,
fmt000010,3D of preliminary theatre layout,,1991-02-14,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000010_1991-02-14_arup_andy_sedgwick_preliminary_theatre_3d_layout.pdf,objects/small/fmt000010_1991-02-14_arup_andy_sedgwick_preliminary_theatre_3d_layout_sm.jpg,objects/thumbs/fmt000010_1991-02-14_arup_andy_sedgwick_preliminary_theatre_3d_layout_th.jpg,,
